ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
141,-63,nan,nan,1.1,-33,Rats,Wistar,Patch-clamp,in vitro,,NaN,29,22.5,NaN,Lateral amygdala projection neuron,Opioids inhibit lateral amygdala pyramidal neurons by enhancing a dendritic potassium current.,2004,http://neuroelectro.org/data_table/2629/,http://neuroelectro.org/article/9476/metadata/,Sah P
230.3,-72.9,nan,71.98,1.58,-37.16,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,30,32,NaN,Lateral amygdala projection neuron,GABAergic interneurons in the mouse lateral amygdala: a classification study.,2010,http://neuroelectro.org/data_table/144/,http://neuroelectro.org/article/25973/metadata/,Pape HC
327,-58.5,nan,60,nan,-37,Rats,Wistar,Patch-clamp,cell culture,Corrected,NaN,20,7.5,NaN,Locus coeruleus NA neuron,Retrograde viral vector-mediated inhibition of pontospinal noradrenergic neurons causes hyperalgesia in rats.,2009,http://neuroelectro.org/data_table/1898/,http://neuroelectro.org/article/7181/metadata/,Pickering AE
250,-54,nan,89.7,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,35,9.5,NaN,Locus coeruleus NA neuron,Developmental changes in pacemaker currents in mouse locus coeruleus neurons.,2011,http://neuroelectro.org/data_table/21596/,http://neuroelectro.org/article/23920/metadata/,van Helden DF
nan,nan,nan,71.7,nan,-45.9,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,35,56.5,240,Locus coeruleus NA neuron,Corticotropin-releasing hormone directly activates noradrenergic neurons of the locus ceruleus recorded in vitro.,2004,http://neuroelectro.org/data_table/2549/,http://neuroelectro.org/article/36700/metadata/,Grace AA
603,-71,36.8,70.1,1.4,-43.6,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,31,45.5,NaN,Locus coeruleus NA neuron,Activation of neuropeptide S-expressing neurons in the locus coeruleus by corticotropin-releasing factor.,2012,http://neuroelectro.org/data_table/17519/,http://neuroelectro.org/article/71533/metadata/,Pape HC
49.55,-68.5,9.8,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,8.1,34,59.8,NaN,Medial entorhinal cortex layer II stellate cell,HCN1 channels control resting and active integrative properties of stellate cells from layer II of the entorhinal cortex.,2007,http://neuroelectro.org/data_table/2127/,http://neuroelectro.org/article/3977/metadata/,Santoro B
96,-59.1,nan,102.5,0.9,-46.1,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,30.5,54,NaN,Medial entorhinal cortex layer II stellate cell,Reduced inhibition and increased output of layer II neurons in the medial entorhinal cortex in a model of temporal lobe epilepsy.,2003,http://neuroelectro.org/data_table/2711/,http://neuroelectro.org/article/36936/metadata/,Buckmaster PS
49,-55,nan,nan,0.5,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,32,57.5,NaN,Medial entorhinal cortex layer III pyramidal cell,"Hyperexcitability, interneurons, and loss of GABAergic synapses in entorhinal cortex in a model of temporal lobe epilepsy.",2006,http://neuroelectro.org/data_table/2354/,http://neuroelectro.org/article/36377/metadata/,Buckmaster PS
76.9,-61.4,16.7,73,nan,-45.6,Rats,Wistar,Sharp,in vitro,,NaN,32,40.5,NaN,Medial entorhinal cortex layer III pyramidal cell,Comparison of the electrophysiology and morphology of layers III and II neurons of the rat medial entorhinal cortex in vitro.,1998,,http://neuroelectro.org/article/78223/metadata/,Lopes da Silva FH
169,-65.9,nan,nan,0.9,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,22,15,NaN,Medial Nucleus of Trapezoid Body neuron,Hyperexcitability and reduced low threshold potassium currents in auditory neurons of mice lacking the channel subunit Kv1.1.,2003,http://neuroelectro.org/data_table/8633/,http://neuroelectro.org/article/38507/metadata/,Tempel BL
684.33,nan,nan,nan,0.2,-50.8,Mice,C57BL,Patch-clamp,in vitro,,NaN,34,21,NaN,Medial vestibular nucleus neuron,"Transgenic mouse lines subdivide medial vestibular nucleus neurons into discrete, neurochemically distinct populations.",2007,http://neuroelectro.org/data_table/2226/,http://neuroelectro.org/article/25307/metadata/,du Lac S
nan,-58.63,nan,62.17,nan,-45.2,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,32.5,19.5,NaN,Medial vestibular nucleus neuron,Developmental regulation of the membrane properties of central vestibular neurons by sensory vestibular information in the mouse.,2007,"http://neuroelectro.org/data_table/8485/, http://neuroelectro.org/data_table/8486/, http://neuroelectro.org/data_table/8487/",http://neuroelectro.org/article/32990/metadata/,Vibert N
nan,nan,nan,69.9,0.5,-48.8,Mice,C57BL,Patch-clamp,in vitro,,NaN,28,19.5,NaN,Medial vestibular nucleus neuron,Heterotrimeric guanosine triphosphate-binding protein-coupled modulatory actions of motilin on K+ channels and postsynaptic ?-aminobutyric acid receptors in mouse medial vestibular nuclear neurons.,2013,http://neuroelectro.org/data_table/20161/,http://neuroelectro.org/article/76996/metadata/,Nagao S
nan,nan,nan,88,nan,-40.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,30.5,26.5,NaN,Neocortex basket cell,Mechanisms of dopamine activation of fast-spiking interneurons that exert inhibition in rat prefrontal cortex.,2002,http://neuroelectro.org/data_table/885/,http://neuroelectro.org/article/12881/metadata/,Yang CR
269,-80,37.5,63.4,nan,-59.3,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,23.5,16,NaN,Neocortex basket cell,Predominance of late-spiking neurons in layer VI of rat perirhinal cortex.,2001,http://neuroelectro.org/data_table/3021/,http://neuroelectro.org/article/14292/metadata/,Brown TH
68.7,nan,nan,nan,0.2,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,32,17,NaN,Neocortex basket cell,Major differences in inhibitory synaptic transmission onto two neocortical interneuron subclasses.,2003,http://neuroelectro.org/data_table/2687/,http://neuroelectro.org/article/23747/metadata/,Prince DA
114.1,-72.32,7,38.3,0.61,-30.8,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,14,31.5,24,NaN,Neocortex basket cell,Subtype-specific dendritic Ca(2+) dynamics of inhibitory interneurons in the rat visual cortex.,2010,http://neuroelectro.org/data_table/152/,http://neuroelectro.org/article/27420/metadata/,Rhie DJ
nan,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,31,12.5,NaN,Neocortex basket cell,GABAA receptor-mediated currents in interneurons and pyramidal cells of rat visual cortex.,1998,http://neuroelectro.org/data_table/8339/,http://neuroelectro.org/article/28721/metadata/,Prince DA
80.9,-67.4,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-10,32,18.5,NaN,Neocortex basket cell,Differential effects of Na+-K+ ATPase blockade on cortical layer V neurons.,2010,http://neuroelectro.org/data_table/8365/,http://neuroelectro.org/article/29326/metadata/,Prince DA
163.92,-67.88,11.83,nan,0.46,-30.57,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,34.5,17,NaN,Neocortex basket cell,Characterization of thalamocortical responses of regular-spiking and fast-spiking neurons of the mouse auditory cortex in vitro and in silico.,2012,http://neuroelectro.org/data_table/12/,http://neuroelectro.org/article/33698/metadata/,Reyes AD
114,-65.8,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,14,32,14.5,NaN,Neocortex basket cell,The roles of somatostatin-expressing (GIN) and fast-spiking inhibitory interneurons in UP-DOWN states of mouse neocortex.,2010,http://neuroelectro.org/data_table/150/,http://neuroelectro.org/article/33813/metadata/,Connors BW
95.3,-65.6,10,nan,0.52,-42.6,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,35,18.5,NaN,Neocortex basket cell,Response sensitivity of barrel neuron subpopulations to simulated thalamic input.,2010,http://neuroelectro.org/data_table/160/,http://neuroelectro.org/article/33819/metadata/,Pinto DJ
182,-67,7.7,52,0.38,-34,Rats,Wistar,Patch-clamp,in vitro,,NaN,31.5,95.5,NaN,Neocortex basket cell,Parvalbumin-positive basket interneurons in monkey and rat prefrontal cortex.,2008,http://neuroelectro.org/data_table/280/,http://neuroelectro.org/article/33933/metadata/,Krimer LS
208.9,-69.7,13.6,71.4,0.64,-42.3,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,15,NaN,Neocortex basket cell,Auditory thalamocortical transmission is reliable and temporally precise.,2005,http://neuroelectro.org/data_table/600/,http://neuroelectro.org/article/34198/metadata/,Metherate R
179,-67.6,9.5,75.3,0.37,-36.6,Macaca mulatta,,Patch-clamp,in vitro,,NaN,32.5,1600,NaN,Neocortex basket cell,Functional properties of fast spiking interneurons and their synaptic connections with pyramidal cells in primate dorsolateral prefrontal cortex.,2005,http://neuroelectro.org/data_table/673/,http://neuroelectro.org/article/34258/metadata/,Lewis DA
258,-59.1,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,22,11.5,NaN,Neocortex basket cell,Neuregulin-1 signals from the periphery regulate AMPA receptor sensitivity and expression in GABAergic interneurons in developing neocortex.,2011,http://neuroelectro.org/data_table/1637/,http://neuroelectro.org/article/35201/metadata/,Nawa H
81.3,-61.6,6.4,nan,0.6,nan,Rats,Sprague-Dawley,Patch-clamp,in vivo,,NaN,37,22,NaN,Neocortex basket cell,The synaptic representation of sound source location in auditory cortex.,2009,http://neuroelectro.org/data_table/1886/,http://neuroelectro.org/article/35584/metadata/,Margrie TW
94.3,nan,nan,nan,0.85,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,33,14.5,NaN,Neocortex basket cell,Spike-timing-dependent plasticity of neocortical excitatory synapses on inhibitory interneurons depends on target cell type.,2007,http://neuroelectro.org/data_table/2158/,http://neuroelectro.org/article/36072/metadata/,Zhang XH
246,-68.4,13.9,66,nan,-32.9,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,17.5,NaN,Neocortex basket cell,Physiologically distinct temporal cohorts of cortical interneurons arise from telencephalic Olig2-expressing precursors.,2007,http://neuroelectro.org/data_table/2180/,http://neuroelectro.org/article/36099/metadata/,Fishell G
53.5,-76.1,nan,32.2,0.34,-34.1,Rats,Wistar,Patch-clamp,in vivo,,NaN,37,29.5,NaN,Neocortex basket cell,Background synaptic activity is sparse in neocortex.,2006,http://neuroelectro.org/data_table/2323/,http://neuroelectro.org/article/36311/metadata/,Helmchen F
160,-73,nan,nan,0.4,nan,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,30,17,NaN,Neocortex basket cell,Developmental synaptic changes increase the range of integrative capabilities of an identified excitatory neocortical connection.,1999,http://neuroelectro.org/data_table/3306/,http://neuroelectro.org/article/37700/metadata/,Audinat E
nan,nan,nan,78,0.8,-38.8,Rats,Wistar,Patch-clamp,in vitro,,NaN,25,21,NaN,Neocortex basket cell,Flexible spike timing of layer 5 neurons during dynamic beta oscillation shifts in rat prefrontal cortex.,2009,http://neuroelectro.org/data_table/9292/,http://neuroelectro.org/article/40619/metadata/,Mansvelder HD
358,-67.1,nan,63.85,nan,-43.8,Mice,C57BL,Patch-clamp,in vitro,,NaN,23.5,13.5,NaN,Neocortex bipolar neuron,Functional characterization of intrinsic cholinergic interneurons in the cortex.,2007,http://neuroelectro.org/data_table/2204/,http://neuroelectro.org/article/36125/metadata/,Monyer H
379,-70,9.4,55,0.34,-45,Macaca mulatta,,Patch-clamp,in vitro,,NaN,32,1600,NaN,Neocortex chandelier cell,Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex.,2005,http://neuroelectro.org/data_table/584/,http://neuroelectro.org/article/34180/metadata/,Lewis DA
184,-66.6,10.7,78.7,0.35,-39.6,Macaca mulatta,,Patch-clamp,in vitro,,NaN,32.5,1600,NaN,Neocortex chandelier cell,Functional properties of fast spiking interneurons and their synaptic connections with pyramidal cells in primate dorsolateral prefrontal cortex.,2005,http://neuroelectro.org/data_table/673/,http://neuroelectro.org/article/34258/metadata/,Lewis DA
577,-81.1,70.7,74.7,nan,-54.7,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,23.5,16,NaN,Neocortex layer 4 stellate cell,Predominance of late-spiking neurons in layer VI of rat perirhinal cortex.,2001,http://neuroelectro.org/data_table/3021/,http://neuroelectro.org/article/14292/metadata/,Brown TH
285.1,-67.15,29.38,nan,0.89,-37.27,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,34.5,17,NaN,Neocortex layer 4 stellate cell,Characterization of thalamocortical responses of regular-spiking and fast-spiking neurons of the mouse auditory cortex in vitro and in silico.,2012,http://neuroelectro.org/data_table/12/,http://neuroelectro.org/article/33698/metadata/,Reyes AD
153.7,-67.5,19,nan,1.11,-45.6,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,35,18.5,NaN,Neocortex layer 4 stellate cell,Response sensitivity of barrel neuron subpopulations to simulated thalamic input.,2010,http://neuroelectro.org/data_table/160/,http://neuroelectro.org/article/33819/metadata/,Pinto DJ
451.2,nan,nan,81.55,1.4,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,22,28,NaN,Neocortex layer 4 stellate cell,Glutamatergic nonpyramidal neurons from neocortical layer VI and their comparison with pyramidal and spiny stellate neurons.,2009,http://neuroelectro.org/data_table/253/,http://neuroelectro.org/article/33912/metadata/,Lambolez B
204.4,-74.3,20,84.5,1.43,-42.6,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,15,NaN,Neocortex layer 4 stellate cell,Auditory thalamocortical transmission is reliable and temporally precise.,2005,http://neuroelectro.org/data_table/600/,http://neuroelectro.org/article/34198/metadata/,Metherate R
128.3,-60.32,8.09,76.43,nan,-36.91,Mice,C57BL,Patch-clamp,in vitro,,NaN,33,12,NaN,Neocortex layer 4 stellate cell,mGluR5 in cortical excitatory neurons exerts both cell-autonomous and -nonautonomous influences on cortical somatosensory circuit formation.,2010,http://neuroelectro.org/data_table/1682/,http://neuroelectro.org/article/35280/metadata/,Lu HC
290.32,nan,17.57,54.97,1.57,-46.09,Rats,Wistar,Patch-clamp,in vitro,Not corrected,9,34,14.5,NaN,Neocortex Martinotti cell,"Anatomical, physiological and molecular properties of Martinotti cells in the somatosensory cortex of the juvenile rat.",2004,http://neuroelectro.org/data_table/7889/,http://neuroelectro.org/article/7273/metadata/,Markram H
225,-58.7,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,14,32,14.5,NaN,Neocortex Martinotti cell,The roles of somatostatin-expressing (GIN) and fast-spiking inhibitory interneurons in UP-DOWN states of mouse neocortex.,2010,http://neuroelectro.org/data_table/150/,http://neuroelectro.org/article/33813/metadata/,Connors BW
205,-58.7,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,30,31.5,NaN,Neocortex Martinotti cell,Electrophysiological classification of somatostatin-positive interneurons in mouse sensorimotor cortex.,2006,http://neuroelectro.org/data_table/492/,http://neuroelectro.org/article/34112/metadata/,Prince DA
399.6,nan,nan,nan,1.36,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,33,14.5,NaN,Neocortex Martinotti cell,Spike-timing-dependent plasticity of neocortical excitatory synapses on inhibitory interneurons depends on target cell type.,2007,http://neuroelectro.org/data_table/2158/,http://neuroelectro.org/article/36072/metadata/,Zhang XH
398,-54.5,36.4,64,1.98,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,23,25,NaN,Neocortex Martinotti cell,Impaired inhibitory control of cortical synchronization in fragile X syndrome.,2011,http://neuroelectro.org/data_table/11767/,http://neuroelectro.org/article/55561/metadata/,Huntsman MM
449.38,-65.04,nan,64.68,nan,-39.21,Mice,C57BL,Patch-clamp,in vitro,,NaN,23.5,26,NaN,Neocortex Martinotti cell,Dense inhibitory connectivity in neocortex.,2011,http://neuroelectro.org/data_table/23200/,http://neuroelectro.org/article/80730/metadata/,Yuste R
47,nan,nan,79,1.1,nan,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,34,21,NaN,Neocortex pyramidal cell,Specificity in the interaction of HVA Ca2+ channel types with Ca2+-dependent AHPs and firing behavior in neocortical pyramidal neurons.,1998,http://neuroelectro.org/data_table/1307/,http://neuroelectro.org/article/4697/metadata/,Foehring RC
312.5,-54,nan,nan,1.15,-38.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-9,22,27.5,NaN,Neocortex pyramidal cell,Fear conditioning and extinction differentially modify the intrinsic excitability of infralimbic neurons.,2008,"http://neuroelectro.org/data_table/2071/, http://neuroelectro.org/data_table/2072/",http://neuroelectro.org/article/27668/metadata/,Porter JT
39.6,-57.8,9.2,nan,1.1,nan,Rats,Sprague-Dawley,Patch-clamp,in vivo,,NaN,37,22,NaN,Neocortex pyramidal cell,The synaptic representation of sound source location in auditory cortex.,2009,http://neuroelectro.org/data_table/1886/,http://neuroelectro.org/article/35584/metadata/,Margrie TW
105,nan,2,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,180,NaN,Neocortex pyramidal cell,Alterations in cortical excitation and inhibition in genetic mouse models of Huntington's disease.,2009,http://neuroelectro.org/data_table/1936/,http://neuroelectro.org/article/35651/metadata/,Levine MS
308.1,-78.3,69.3,nan,nan,-49.8,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,24,22,NaN,Neocortex pyramidal cell layer 2-3,Prolonged synaptic integration in perirhinal cortical neurons.,2000,http://neuroelectro.org/data_table/1107/,http://neuroelectro.org/article/12377/metadata/,Brown TH
125.2,-78.56,16,67.8,1.42,-37.7,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,14,31.5,24,NaN,Neocortex pyramidal cell layer 2-3,Subtype-specific dendritic Ca(2+) dynamics of inhibitory interneurons in the rat visual cortex.,2010,http://neuroelectro.org/data_table/152/,http://neuroelectro.org/article/27420/metadata/,Rhie DJ
190,-68.1,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,14,32,14.5,NaN,Neocortex pyramidal cell layer 2-3,The roles of somatostatin-expressing (GIN) and fast-spiking inhibitory interneurons in UP-DOWN states of mouse neocortex.,2010,http://neuroelectro.org/data_table/150/,http://neuroelectro.org/article/33813/metadata/,Connors BW
316.6,nan,nan,83.25,1.3,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,22,28,NaN,Neocortex pyramidal cell layer 2-3,Glutamatergic nonpyramidal neurons from neocortical layer VI and their comparison with pyramidal and spiny stellate neurons.,2009,http://neuroelectro.org/data_table/253/,http://neuroelectro.org/article/33912/metadata/,Lambolez B
244,-75,26,48,1.8,-37,Mice,C57BL,Patch-clamp,in vitro,,NaN,31.5,16.5,NaN,Neocortex pyramidal cell layer 2-3,Maturation of intrinsic and synaptic properties of layer 2/3 pyramidal neurons in mouse auditory cortex.,2008,http://neuroelectro.org/data_table/305/,http://neuroelectro.org/article/33958/metadata/,Reyes AD
39.9,-83,nan,nan,nan,nan,Rats,Wistar,Sharp,in vitro,,NaN,34.5,75,NaN,Neocortex pyramidal cell layer 2-3,Characterization of neuronal migration disorders in neocortical structures. II. Intracellular in vitro recordings.,1998,http://neuroelectro.org/data_table/1296/,http://neuroelectro.org/article/34802/metadata/,Zilles K
31.3,-72.7,7.2,nan,1.56,-48.5,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,22,31.5,105,Neocortex pyramidal cell layer 2-3,Epileptogenesis following neocortical trauma from two sources of disinhibition.,1997,http://neuroelectro.org/data_table/1356/,http://neuroelectro.org/article/34873/metadata/,Benardo LS
89,-76,20.1,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,32,19.5,NaN,Neocortex pyramidal cell layer 2-3,Specialized cortical subnetworks differentially connect frontal cortex to parahippocampal areas.,2012,http://neuroelectro.org/data_table/1474/,http://neuroelectro.org/article/34982/metadata/,Kawaguchi Y
107.5,nan,2.35,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,180,NaN,Neocortex pyramidal cell layer 2-3,Alterations in cortical excitation and inhibition in genetic mouse models of Huntington's disease.,2009,http://neuroelectro.org/data_table/1936/,http://neuroelectro.org/article/35651/metadata/,Levine MS
59,-76,14.1,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,36.5,45,NaN,Neocortex pyramidal cell layer 2-3,Sensory experience alters cortical connectivity and synaptic function site specifically.,2007,http://neuroelectro.org/data_table/2217/,http://neuroelectro.org/article/36170/metadata/,Finnerty GT
29.2,-73.9,nan,66.5,0.84,-36.4,Rats,Wistar,Patch-clamp,in vivo,,NaN,37,29.5,NaN,Neocortex pyramidal cell layer 2-3,Background synaptic activity is sparse in neocortex.,2006,http://neuroelectro.org/data_table/2323/,http://neuroelectro.org/article/36311/metadata/,Helmchen F
17.14,-63.4,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,22,28,NaN,Neocortex pyramidal cell layer 5-6,Mechanisms and consequences of action potential burst firing in rat neocortical pyramidal neurons.,1999,http://neuroelectro.org/data_table/8003/,http://neuroelectro.org/article/10706/metadata/,Stuart GJ
114.36,-68.37,9.09,88.86,0.88,-46.26,Rats,Wistar,Patch-clamp,in vitro,Not corrected,-11,32,31.5,NaN,Neocortex pyramidal cell layer 5-6,Properties of layer 6 pyramidal neuron apical dendrites.,2010,http://neuroelectro.org/data_table/1719/,http://neuroelectro.org/article/11328/metadata/,Larkum ME
23.31,-72.69,11.43,87.46,0.63,-42.56,Rats,Wistar,Patch-clamp,in vitro,,NaN,34,45,NaN,Neocortex pyramidal cell layer 5-6,Early exposure to alcohol leads to permanent impairment of dendritic excitability in neocortical pyramidal neurons.,2012,http://neuroelectro.org/data_table/1478/,http://neuroelectro.org/article/24352/metadata/,Larkum ME
nan,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,31,12.5,NaN,Neocortex pyramidal cell layer 5-6,GABAA receptor-mediated currents in interneurons and pyramidal cells of rat visual cortex.,1998,http://neuroelectro.org/data_table/8339/,http://neuroelectro.org/article/28721/metadata/,Prince DA
119.7,-64.1,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-10,32,18.5,NaN,Neocortex pyramidal cell layer 5-6,Differential effects of Na+-K+ ATPase blockade on cortical layer V neurons.,2010,http://neuroelectro.org/data_table/8365/,http://neuroelectro.org/article/29326/metadata/,Prince DA
88,-80.4,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,35,28,NaN,Neocortex pyramidal cell layer 5-6,Action potential initiation and propagation in layer 5 pyramidal neurons of the rat prefrontal cortex: absence of dopamine modulation.,2003,http://neuroelectro.org/data_table/2661/,http://neuroelectro.org/article/31092/metadata/,Stuart GJ
56,-61.5,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,22,15,NaN,Neocortex pyramidal cell layer 5-6,GABAergic synaptic inhibition is reduced before seizure onset in a genetic model of cortical malformation.,2006,http://neuroelectro.org/data_table/2288/,http://neuroelectro.org/article/32487/metadata/,Lee KS
272.5,nan,nan,92.3,1.65,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,22,28,NaN,Neocortex pyramidal cell layer 5-6,Glutamatergic nonpyramidal neurons from neocortical layer VI and their comparison with pyramidal and spiny stellate neurons.,2009,http://neuroelectro.org/data_table/253/,http://neuroelectro.org/article/33912/metadata/,Lambolez B
456.9,-67,nan,nan,1.7,-39.3,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,35,14.5,NaN,Neocortex pyramidal cell layer 5-6,Morphological and physiological characterization of layer VI corticofugal neurons of mouse primary visual cortex.,2003,http://neuroelectro.org/data_table/826/,http://neuroelectro.org/article/34389/metadata/,Yuste R
34.4,-67,7.1,nan,1.26,-49.6,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,22,31.5,105,Neocortex pyramidal cell layer 5-6,Epileptogenesis following neocortical trauma from two sources of disinhibition.,1997,http://neuroelectro.org/data_table/1356/,http://neuroelectro.org/article/34873/metadata/,Benardo LS
170,-74.4,26.9,nan,0.81,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,32,19,NaN,Neocortex pyramidal cell layer 5-6,Increased excitability and inward rectification in layer V cortical pyramidal neurons in the epileptic mutant mouse Stargazer.,1997,http://neuroelectro.org/data_table/1439/,http://neuroelectro.org/article/34943/metadata/,Noebels JL
97.2,-65.7,18.3,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,32,19.5,NaN,Neocortex pyramidal cell layer 5-6,Specialized cortical subnetworks differentially connect frontal cortex to parahippocampal areas.,2012,http://neuroelectro.org/data_table/1474/,http://neuroelectro.org/article/34982/metadata/,Kawaguchi Y
102.2,-82.4,nan,86.4,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,32,52,NaN,Neocortex pyramidal cell layer 5-6,Enhanced function of prefrontal serotonin 5-HT(2) receptors in a rat model of psychiatric vulnerability.,2010,http://neuroelectro.org/data_table/1733/,http://neuroelectro.org/article/35355/metadata/,Vaidya VA
80.3,-65.9,6.7,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,33,23.5,NaN,Neocortex pyramidal cell layer 5-6,Dopamine and corticotropin-releasing factor synergistically alter basolateral amygdala-to-medial prefrontal cortex synaptic transmission: functional switch after chronic cocaine administration.,2008,http://neuroelectro.org/data_table/2104/,http://neuroelectro.org/article/35977/metadata/,Gallagher JP
144,nan,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,34.5,21.5,NaN,Neocortex pyramidal cell layer 5-6,Postnatal development of synaptic transmission in local networks of L5A pyramidal neurons in rat somatosensory cortex.,2007,http://neuroelectro.org/data_table/9184/,http://neuroelectro.org/article/40341/metadata/,Sakmann B
nan,nan,nan,83.8,1.9,-36.5,Rats,Wistar,Patch-clamp,in vitro,,NaN,25,21,NaN,Neocortex pyramidal cell layer 5-6,Flexible spike timing of layer 5 neurons during dynamic beta oscillation shifts in rat prefrontal cortex.,2009,http://neuroelectro.org/data_table/9292/,http://neuroelectro.org/article/40619/metadata/,Mansvelder HD
86.8,-60.15,16.4,nan,nan,-37.6,Mice,C57BL,Patch-clamp,in vitro,,NaN,31,52.5,NaN,Neocortex pyramidal cell layer 5-6,Electrophysiological Abnormalities in Both Axotomized and Nonaxotomized Pyramidal Neurons following Mild Traumatic Brain Injury.,2012,http://neuroelectro.org/data_table/14294/,http://neuroelectro.org/article/63737/metadata/,Jacobs KM
nan,nan,nan,79.4,0.45,-41.1,Rats,Sprague-Dawley,Sharp,in vitro,Not corrected,NaN,34,94.5,421,Neostriatum cholinergic cell,Reduction of an afterhyperpolarization current increases excitability in striatal cholinergic interneurons in rat parkinsonism.,2011,http://neuroelectro.org/data_table/1632/,http://neuroelectro.org/article/35194/metadata/,Murer MG
229,-57,nan,nan,2.1,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,28,NaN,Neostriatum cholinergic cell,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/metadata/,Kreitzer AC
307.3,-61.9,nan,61.3,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,32,16.5,NaN,Neostriatum cholinergic cell,Cell-specific spike-timing-dependent plasticity in GABAergic and cholinergic interneurons in corticostriatal rat brain slices.,2008,http://neuroelectro.org/data_table/10072/,http://neuroelectro.org/article/43018/metadata/,Venance L
