ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
101.9,nan,nan,77.3,nan,-45.1,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,22,NaN,Cerebellum Purkinje cell,Lobule-specific membrane excitability of cerebellar Purkinje cells.,2012,http://neuroelectro.org/data_table/8376/,http://neuroelectro.org/article/29594/metadata/,Kim SJ
nan,nan,nan,79.3,0.43,-54.9,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,26,35,NaN,Cerebellum Purkinje cell,Submillisecond optical reporting of membrane potential in situ using a neuronal tracer dye.,2009,http://neuroelectro.org/data_table/1949/,http://neuroelectro.org/article/35673/metadata/,DiGregorio DA
175,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,28,49,NaN,Cerebellum Purkinje cell,Impaired synaptic plasticity and cAMP response element-binding protein activation in Ca2+/calmodulin-dependent protein kinase type IV/Gr-deficient mice.,2000,http://neuroelectro.org/data_table/3119/,http://neuroelectro.org/article/37464/metadata/,Chatila TA
181,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,cell culture,,NaN,22.5,1,NaN,Cerebellum Purkinje cell,Activation of presynaptic cAMP-dependent protein kinase is required for induction of cerebellar long-term potentiation.,1999,http://neuroelectro.org/data_table/3226/,http://neuroelectro.org/article/37591/metadata/,Ahn S
64.3,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,26.5,NaN,Cerebellum Purkinje cell,Selective and regulated gene expression in murine Purkinje cells by in utero electroporation.,2012,http://neuroelectro.org/data_table/16674/,http://neuroelectro.org/article/72982/metadata/,Yuzaki M
175,-69,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,cell culture,,NaN,22,56,NaN,Cerebellum Purkinje cell,Impaired cerebellar long-term potentiation in type I adenylyl cyclase mutant mice.,1998,http://neuroelectro.org/data_table/21965/,http://neuroelectro.org/article/79142/metadata/,Linden DJ
91.75,nan,nan,77.11,nan,-54.68,Rats,Wistar,Patch-clamp,in vitro,,NaN,22,15,NaN,Cerebellum Purkinje cell,Membrane excitability and fear conditioning in cerebellar Purkinje cell.,2006,http://neuroelectro.org/data_table/25316/,http://neuroelectro.org/article/83523/metadata/,Strata P
nan,-57.5,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,35.5,26,NaN,Cochlea hair cell inner,Genetic deletion of SK2 channels in mouse inner hair cells prevents the developmental linearization in the Ca2+ dependence of exocytosis.,2007,http://neuroelectro.org/data_table/7957/,http://neuroelectro.org/article/9788/metadata/,Marcotti W
187,nan,17,55,1.1,-50,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,34,13.5,NaN,Cochlear nucleus (dorsal) cartwheel cell,Two distinct types of inhibition mediated by cartwheel cells in the dorsal cochlear nucleus.,2009,http://neuroelectro.org/data_table/219/,http://neuroelectro.org/article/33885/metadata/,Manis PB
64,nan,21,76,0.7,-50,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,34,13.5,NaN,Cochlear nucleus (dorsal) pyramidal neuron,Two distinct types of inhibition mediated by cartwheel cells in the dorsal cochlear nucleus.,2009,http://neuroelectro.org/data_table/219/,http://neuroelectro.org/article/33885/metadata/,Manis PB
