Neuron name,Restrictive neuron use list,Less restrictive,Brain regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellum granule cell,0,1,"Lingula (I), granular layer","Lobule II, granular layer","Lobule III, granular layer","Lobules IV-V, granular layer","Declive (VI), granular layer","Folium-tuber vermis (VII), granular layer","Pyramus (VIII), granular layer","Uvula (IX), granular layer","Nodulus (X), granular layer","Simple lobule, granular layer","Crus 1, granular layer","Crus 2, granular layer","Paramedian lobule, granular layer","Copula pyramidis, granular layer","Paraflocculus, granular layer","Flocculus, granular layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA3 trilaminar neuron,0,0,"Field CA3, stratum oriens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medial entorhinal cortex layer III pyramidal cell,1,1,"Entorhinal area, medial part, dorsal zone, layer 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus coeruleus NA neuron,1,1,Locus ceruleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal cord ventral horn interneuron V2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorsal motor nucleus of vagus motor neuron,1,1,Dorsal motor nucleus of the vagus nerve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex Martinotti cell,0,0,Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lateral amygdala projection neuron,1,1,Lateral amygdalar nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus accumbens core neuron,1,1,Nucleus accumbens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentate gyrus hilar cell,0,0,Dentate gyrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trochlear nucleus motoneurons,1,1,Trochlear nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substantia nigra pars reticulata interneuron GABA,0,0,"Substantia nigra, reticular part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlear nucleus (dorsal) cartwheel cell,0,1,Dorsal cochlear nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothalamus oxytocin neuroendocrine magnocellular cell,1,1,Hypothalamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA1 radiatum giant cell,0,0,"Field CA1, stratum radiatum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
